iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,expanded_oracle,new_correct_generated,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
28,direct-1,Direct One,cal-t4-sequence-01,sequence,1,3,3,1,1,0,,1,0,0,1,1,0,0,0,"{""answer"":[89,47,83]}"
28,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
28,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
28,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
28,direct-1,Direct One,cal-t4-constraint-01,constraint,0,3,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""Y"",""J12"":""Y"",""J2"":""X"",""J3"":""W"",""J4"":""Z"",""J5"":""Z"",""J6"":""X"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":174}"
28,direct-1,Direct One,cal-t4-constraint-02,constraint,0,3,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""W"",""J12"":""X"",""J2"":""Y"",""J3"":""X"",""J4"":""X"",""J5"":""Z"",""J6"":""Z"",""J7"":""Y"",""J8"":""W"",""J9"":""Y""},""total_cost"":198}"
28,direct-1,Direct One,cal-t4-constraint-03,constraint,0,9,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""Z"",""J4"":""X"",""J5"":""W"",""J6"":""X"",""J7"":""X"",""J8"":""Z"",""J9"":""Y""},""total_cost"":136}"
28,direct-1,Direct One,cal-t4-constraint-04,constraint,0,6,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""Z"",""J5"":""Y"",""J6"":""X"",""J7"":""W"",""J8"":""W"",""J9"":""Y""},""total_cost"":137}"
28,direct-1,Direct One,cal-t4-logic-01,logic,0,8,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
28,direct-1,Direct One,cal-t4-logic-02,logic,0,8,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""liar"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
