iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
4,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[68,55,14]}"
4,direct-1,Direct One,cal-t4-sequence-02,sequence,0,1,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[86,96,21]}"
4,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[53,29,44]}"
4,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
4,direct-1,Direct One,cal-t4-constraint-01,constraint,1,13,13,1,1,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""X"",""J12"":""Y"",""J2"":""X"",""J3"":""Y"",""J4"":""W"",""J5"":""X"",""J6"":""Z"",""J7"":""Z"",""J8"":""W"",""J9"":""Y""},""total_cost"":133}"
4,direct-1,Direct One,cal-t4-constraint-02,constraint,0,10,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""X"",""J4"":""Z"",""J5"":""Z"",""J6"":""Z"",""J7"":""W"",""J8"":""X"",""J9"":""W""},""total_cost"":141}"
4,direct-1,Direct One,cal-t4-constraint-03,constraint,0,4,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""X"",""J3"":""X"",""J4"":""W"",""J5"":""Z"",""J6"":""Y"",""J7"":""X"",""J8"":""Z"",""J9"":""W""},""total_cost"":152}"
4,direct-1,Direct One,cal-t4-constraint-04,constraint,1,13,13,1,1,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""X"",""J12"":""Z"",""J2"":""W"",""J3"":""X"",""J4"":""Y"",""J5"":""X"",""J6"":""W"",""J7"":""Z"",""J8"":""Y"",""J9"":""W""},""total_cost"":173}"
4,direct-1,Direct One,cal-t4-logic-01,logic,0,12,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
4,direct-1,Direct One,cal-t4-logic-02,logic,0,14,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
4,direct-1,Direct One,cal-t4-logic-03,logic,0,9,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""liar"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
4,direct-1,Direct One,cal-t4-logic-04,logic,0,15,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
4,plurality-5,Five-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
4,plurality-5,Five-Vote Plurality,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,5,4,0,0,0,"{""answer"":[0,0,0]}"
4,plurality-5,Five-Vote Plurality,cal-t4-sequence-03,sequence,1,3,3,1,1,0,,0,5,4,0,0,0,"{""answer"":[88,75,46]}"
4,plurality-5,Five-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,5,2,0,0,0,"{""answer"":[-1,-1,-1]}"
