iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
3,direct-1,Direct One,cal-t4-sequence-01,sequence,1,3,3,1,1,0,,0,1,1,0,0,0,"{""answer"":[59,0,16]}"
3,direct-1,Direct One,cal-t4-sequence-02,sequence,0,2,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[28,44,48]}"
3,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
3,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[42,17,91]}"
3,direct-1,Direct One,cal-t4-constraint-01,constraint,0,6,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""X"",""J12"":""Y"",""J2"":""W"",""J3"":""W"",""J4"":""Z"",""J5"":""X"",""J6"":""Y"",""J7"":""Y"",""J8"":""Z"",""J9"":""X""},""total_cost"":188}"
3,direct-1,Direct One,cal-t4-constraint-02,constraint,0,8,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""X"",""J12"":""X"",""J2"":""Z"",""J3"":""Z"",""J4"":""Y"",""J5"":""Y"",""J6"":""Z"",""J7"":""W"",""J8"":""W"",""J9"":""W""},""total_cost"":123}"
3,direct-1,Direct One,cal-t4-constraint-03,constraint,0,9,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""W"",""J11"":""X"",""J12"":""W"",""J2"":""Z"",""J3"":""W"",""J4"":""X"",""J5"":""Z"",""J6"":""X"",""J7"":""Y"",""J8"":""Y"",""J9"":""Z""},""total_cost"":157}"
3,direct-1,Direct One,cal-t4-constraint-04,constraint,1,13,13,1,1,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""Z"",""J12"":""Y"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""W"",""J6"":""X"",""J7"":""X"",""J8"":""Y"",""J9"":""W""},""total_cost"":172}"
3,direct-1,Direct One,cal-t4-logic-01,logic,0,11,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
3,direct-1,Direct One,cal-t4-logic-02,logic,0,11,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
3,direct-1,Direct One,cal-t4-logic-03,logic,0,13,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
3,direct-1,Direct One,cal-t4-logic-04,logic,0,10,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
3,plurality-5,Five-Vote Plurality,cal-t4-sequence-01,sequence,1,3,3,1,1,0,,0,5,3,0,0,0,"{""answer"":[59,0,16]}"
3,plurality-5,Five-Vote Plurality,cal-t4-sequence-02,sequence,0,0,3,0,1,0,,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
3,plurality-5,Five-Vote Plurality,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,5,2,0,0,0,"{""answer"":[0,0,0]}"
3,plurality-5,Five-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,1,0,,0,5,4,0,0,0,"{""answer"":[-1,-1,-1]}"
3,plurality-5,Five-Vote Plurality,cal-t4-constraint-01,constraint,0,6,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""X"",""J12"":""Y"",""J2"":""W"",""J3"":""W"",""J4"":""Z"",""J5"":""X"",""J6"":""Y"",""J7"":""Y"",""J8"":""Z"",""J9"":""X""},""total_cost"":188}"
3,plurality-5,Five-Vote Plurality,cal-t4-constraint-02,constraint,0,8,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""X"",""J10"":""Y"",""J11"":""X"",""J12"":""X"",""J2"":""Z"",""J3"":""Z"",""J4"":""Y"",""J5"":""Y"",""J6"":""Z"",""J7"":""W"",""J8"":""W"",""J9"":""W""},""total_cost"":123}"
3,plurality-5,Five-Vote Plurality,cal-t4-constraint-03,constraint,0,9,13,0,0,0,,0,5,5,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""W"",""J11"":""X"",""J12"":""W"",""J2"":""Z"",""J3"":""W"",""J4"":""X"",""J5"":""Z"",""J6"":""X"",""J7"":""Y"",""J8"":""Y"",""J9"":""Z""},""total_cost"":157}"
3,plurality-5,Five-Vote Plurality,cal-t4-constraint-04,constraint,1,13,13,1,1,0,,0,5,4,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""Z"",""J12"":""Y"",""J2"":""Z"",""J3"":""Y"",""J4"":""Z"",""J5"":""W"",""J6"":""X"",""J7"":""X"",""J8"":""Y"",""J9"":""W""},""total_cost"":172}"
3,plurality-5,Five-Vote Plurality,cal-t4-logic-01,logic,0,11,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
3,plurality-5,Five-Vote Plurality,cal-t4-logic-02,logic,0,11,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""liar"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
3,plurality-5,Five-Vote Plurality,cal-t4-logic-03,logic,0,13,17,0,0,0,,0,5,5,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""liar""}}"
