iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,expanded_oracle,new_correct_generated,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
22,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
22,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
22,direct-1,Direct One,cal-t4-sequence-03,sequence,1,3,3,1,1,0,,1,0,0,1,1,0,0,0,"{""answer"":[85,71,78]}"
22,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
22,direct-1,Direct One,cal-t4-constraint-01,constraint,0,10,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""X"",""J10"":""X"",""J11"":""Y"",""J12"":""Z"",""J2"":""Y"",""J3"":""W"",""J4"":""W"",""J5"":""Z"",""J6"":""W"",""J7"":""Z"",""J8"":""X"",""J9"":""Y""},""total_cost"":166}"
22,direct-1,Direct One,cal-t4-constraint-02,constraint,1,13,13,1,1,0,,1,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Z"",""J11"":""Z"",""J12"":""X"",""J2"":""X"",""J3"":""W"",""J4"":""Y"",""J5"":""Y"",""J6"":""Y"",""J7"":""X"",""J8"":""W"",""J9"":""W""},""total_cost"":190}"
22,direct-1,Direct One,cal-t4-constraint-03,constraint,0,3,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""W"",""J11"":""Y"",""J12"":""Y"",""J2"":""Z"",""J3"":""X"",""J4"":""X"",""J5"":""W"",""J6"":""Z"",""J7"":""X"",""J8"":""W"",""J9"":""Y""},""total_cost"":190}"
22,direct-1,Direct One,cal-t4-constraint-04,constraint,0,9,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Y"",""J12"":""W"",""J2"":""W"",""J3"":""X"",""J4"":""Y"",""J5"":""Z"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":194}"
22,direct-1,Direct One,cal-t4-logic-01,logic,0,9,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""truthful"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""truthful"",""Q"":""liar""}}"
22,direct-1,Direct One,cal-t4-logic-02,logic,0,13,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""liar""}}"
