iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,expanded_oracle,new_correct_generated,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
19,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[72,35,88]}"
19,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[42,67,91]}"
19,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
19,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
19,direct-1,Direct One,cal-t4-constraint-01,constraint,0,6,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""W"",""J12"":""X"",""J2"":""X"",""J3"":""W"",""J4"":""Y"",""J5"":""Z"",""J6"":""Z"",""J7"":""Y"",""J8"":""Z"",""J9"":""Y""},""total_cost"":143}"
19,direct-1,Direct One,cal-t4-constraint-02,constraint,0,6,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""W"",""J11"":""X"",""J12"":""X"",""J2"":""X"",""J3"":""Z"",""J4"":""W"",""J5"":""Y"",""J6"":""Z"",""J7"":""Z"",""J8"":""W"",""J9"":""Y""},""total_cost"":139}"
19,direct-1,Direct One,cal-t4-constraint-03,constraint,0,9,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""Y"",""J12"":""Y"",""J2"":""W"",""J3"":""Y"",""J4"":""W"",""J5"":""X"",""J6"":""Z"",""J7"":""X"",""J8"":""X"",""J9"":""Z""},""total_cost"":145}"
19,direct-1,Direct One,cal-t4-constraint-04,constraint,0,10,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""X"",""J10"":""W"",""J11"":""Z"",""J12"":""X"",""J2"":""Z"",""J3"":""Y"",""J4"":""Y"",""J5"":""W"",""J6"":""X"",""J7"":""Z"",""J8"":""W"",""J9"":""Y""},""total_cost"":134}"
19,direct-1,Direct One,cal-t4-logic-01,logic,1,17,17,1,1,0,,1,0,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
19,direct-1,Direct One,cal-t4-logic-02,logic,0,15,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""truthful""}}"
19,direct-1,Direct One,cal-t4-logic-03,logic,0,9,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""liar"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""truthful"",""J"":""truthful"",""K"":""liar"",""L"":""liar"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
19,direct-1,Direct One,cal-t4-logic-04,logic,0,7,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""liar"",""O"":""truthful"",""P"":""liar"",""Q"":""liar""}}"
19,plurality-5,Five-Vote Plurality,cal-t4-sequence-01,sequence,0,0,3,0,1,0,,1,0,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
19,plurality-5,Five-Vote Plurality,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,0,0,5,4,0,0,0,"{""answer"":[0,0,0]}"
19,plurality-5,Five-Vote Plurality,cal-t4-sequence-03,sequence,0,0,3,0,1,0,,1,0,0,5,3,0,0,0,"{""answer"":[0,0,0]}"
19,plurality-5,Five-Vote Plurality,cal-t4-sequence-04,sequence,0,0,3,0,1,0,,1,0,0,5,4,0,0,0,"{""answer"":[-1,-1,-1]}"
19,plurality-5,Five-Vote Plurality,cal-t4-constraint-01,constraint,0,6,13,0,1,0,,1,0,0,5,5,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""W"",""J12"":""X"",""J2"":""X"",""J3"":""W"",""J4"":""Y"",""J5"":""Z"",""J6"":""Z"",""J7"":""Y"",""J8"":""Z"",""J9"":""Y""},""total_cost"":143}"
