iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
12,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
12,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
12,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[97,51,33]}"
12,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
12,direct-1,Direct One,cal-t4-constraint-01,constraint,0,8,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""W"",""J12"":""Y"",""J2"":""X"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""Y"",""J7"":""Y"",""J8"":""X"",""J9"":""Z""},""total_cost"":155}"
12,direct-1,Direct One,cal-t4-constraint-02,constraint,0,9,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Z"",""J11"":""X"",""J12"":""W"",""J2"":""W"",""J3"":""Y"",""J4"":""X"",""J5"":""Z"",""J6"":""X"",""J7"":""Y"",""J8"":""Y"",""J9"":""Z""},""total_cost"":176}"
12,direct-1,Direct One,cal-t4-constraint-03,constraint,0,4,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Z"",""J11"":""Z"",""J12"":""Y"",""J2"":""X"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""W"",""J7"":""Y"",""J8"":""W"",""J9"":""X""},""total_cost"":193}"
12,direct-1,Direct One,cal-t4-constraint-04,constraint,0,8,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""X"",""J11"":""Z"",""J12"":""Z"",""J2"":""Y"",""J3"":""W"",""J4"":""Y"",""J5"":""Y"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":184}"
12,direct-1,Direct One,cal-t4-logic-01,logic,0,8,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""truthful"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""liar"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
12,direct-1,Direct One,cal-t4-logic-02,logic,0,14,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""liar"",""C"":""liar"",""D"":""liar"",""E"":""liar"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
