iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
7,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
7,direct-1,Direct One,cal-t4-sequence-02,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
7,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
7,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,1,1,0,0,0,"{""answer"":[-1,-1,-1]}"
7,direct-1,Direct One,cal-t4-constraint-01,constraint,0,6,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""W"",""J11"":""X"",""J12"":""W"",""J2"":""Y"",""J3"":""Z"",""J4"":""Z"",""J5"":""Y"",""J6"":""X"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":203}"
7,direct-1,Direct One,cal-t4-constraint-02,constraint,0,3,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""Y"",""J11"":""X"",""J12"":""Z"",""J2"":""W"",""J3"":""X"",""J4"":""Z"",""J5"":""W"",""J6"":""X"",""J7"":""Y"",""J8"":""Y"",""J9"":""Z""},""total_cost"":107}"
7,direct-1,Direct One,cal-t4-constraint-03,constraint,0,10,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Z"",""J11"":""X"",""J12"":""Y"",""J2"":""W"",""J3"":""Y"",""J4"":""X"",""J5"":""W"",""J6"":""Y"",""J7"":""Z"",""J8"":""X"",""J9"":""W""},""total_cost"":169}"
7,direct-1,Direct One,cal-t4-constraint-04,constraint,0,8,13,0,0,0,,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""X"",""J11"":""Z"",""J12"":""Y"",""J2"":""Y"",""J3"":""Z"",""J4"":""W"",""J5"":""W"",""J6"":""X"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":167}"
7,direct-1,Direct One,cal-t4-logic-01,logic,0,12,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""liar"",""F"":""liar"",""G"":""truthful"",""H"":""truthful"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""truthful"",""P"":""truthful"",""Q"":""truthful""}}"
7,direct-1,Direct One,cal-t4-logic-02,logic,0,9,17,0,0,0,,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""liar"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""truthful"",""K"":""liar"",""L"":""truthful"",""M"":""liar"",""N"":""truthful"",""O"":""liar"",""P"":""truthful"",""Q"":""liar""}}"
