iteration,strategy_id,strategy_name,case_id,family,exact,partial_correct,partial_total,base_exact,base_oracle,review_calls,review_candidate_oracle,expanded_oracle,new_correct_generated,repair_created_correct_answer,effective_calls,base_unique_candidates,review_unique_outputs,helpful_intervention,harmful_intervention,final_answer
16,direct-1,Direct One,cal-t4-sequence-01,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
16,direct-1,Direct One,cal-t4-sequence-02,sequence,1,3,3,1,1,0,,1,0,0,1,1,0,0,0,"{""answer"":[0,71,80]}"
16,direct-1,Direct One,cal-t4-sequence-03,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
16,direct-1,Direct One,cal-t4-sequence-04,sequence,0,0,3,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":[0,0,0]}"
16,direct-1,Direct One,cal-t4-constraint-01,constraint,0,6,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Y"",""J11"":""Z"",""J12"":""W"",""J2"":""Z"",""J3"":""W"",""J4"":""X"",""J5"":""X"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":154}"
16,direct-1,Direct One,cal-t4-constraint-02,constraint,0,8,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Y"",""J10"":""Y"",""J11"":""X"",""J12"":""Y"",""J2"":""W"",""J3"":""W"",""J4"":""X"",""J5"":""Y"",""J6"":""Z"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":151}"
16,direct-1,Direct One,cal-t4-constraint-03,constraint,0,9,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""W"",""J10"":""W"",""J11"":""X"",""J12"":""Z"",""J2"":""Z"",""J3"":""Y"",""J4"":""Y"",""J5"":""Z"",""J6"":""W"",""J7"":""X"",""J8"":""X"",""J9"":""Y""},""total_cost"":148}"
16,direct-1,Direct One,cal-t4-constraint-04,constraint,0,4,13,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""J1"":""Z"",""J10"":""Y"",""J11"":""Z"",""J12"":""X"",""J2"":""X"",""J3"":""W"",""J4"":""W"",""J5"":""Y"",""J6"":""Y"",""J7"":""W"",""J8"":""Z"",""J9"":""X""},""total_cost"":107}"
16,direct-1,Direct One,cal-t4-logic-01,logic,0,12,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""truthful"",""B"":""truthful"",""C"":""truthful"",""D"":""truthful"",""E"":""truthful"",""F"":""truthful"",""G"":""liar"",""H"":""truthful"",""I"":""liar"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""liar"",""O"":""liar"",""P"":""truthful"",""Q"":""truthful""}}"
16,direct-1,Direct One,cal-t4-logic-02,logic,0,13,17,0,0,0,,0,0,0,1,1,0,0,0,"{""answer"":{""A"":""liar"",""B"":""liar"",""C"":""liar"",""D"":""liar"",""E"":""truthful"",""F"":""truthful"",""G"":""truthful"",""H"":""liar"",""I"":""truthful"",""J"":""liar"",""K"":""truthful"",""L"":""liar"",""M"":""truthful"",""N"":""truthful"",""O"":""liar"",""P"":""liar"",""Q"":""truthful""}}"
